bus,name,base_kv,type,voltage_pu,angle_deg
378,PV2LV2(113),0.6600000262260437,1,0.9977174997329712,59.7586784362793
379,PV2LV2(114),0.6600000262260437,1,0.997159481048584,59.703041076660156
380,PV2LV2(115),0.6600000262260437,1,0.9972309470176697,59.70242691040039
381,PV2LV2(116),0.6600000262260437,1,0.9970977306365967,59.701934814453125
382,PV2LV2(117),0.6600000262260437,1,0.9971561431884766,59.70085144042969
383,PV2LV2(118),0.6600000262260437,1,0.9972022175788879,59.70204544067383
384,PV2LV2(119),0.6600000262260437,1,0.9971415400505066,59.703460693359375
386,PV2LV2(120),0.6600000262260437,1,0.9960426688194275,59.760005950927734
387,PV2LV2(121),0.6600000262260437,1,0.9971978664398193,59.70314407348633
388,PV2LV2(122),0.6600000262260437,1,0.9972200989723206,59.70262145996094
389,PV2LV2(123),0.6600000262260437,1,0.9960001707077026,59.76103973388672
390,PV2LV2(124),0.6600000262260437,1,0.9959818720817566,59.761600494384766
445,PV2LV2(65),0.6600000262260437,1,0.9967493414878845,59.761802673339844
446,PV2LV2(66),0.6600000262260437,1,0.9968933463096619,59.76129913330078
447,PV2LV2(67),0.6600000262260437,1,0.9968109726905823,59.76327896118164
448,PV2LV2(68),0.6600000262260437,1,0.9967508316040039,59.762290954589844
449,PV2LV2(69),0.6600000262260437,1,1.00826895236969,59.77486801147461
451,PV2LV2(70),0.6600000262260437,1,1.0084524154663086,59.77473068237305
452,PV2LV2(71),0.6600000262260437,1,1.008347511291504,59.775455474853516
453,PV2LV2(72),0.6600000262260437,1,1.0083926916122437,59.774986267089844
454,PV2LV2(73),0.6600000262260437,1,1.0083544254302979,59.77526092529297
455,PV2LV2(74),0.6600000262260437,1,1.0084519386291504,59.77490997314453
456,PV2LV2(75),0.6600000262260437,1,1.0084367990493774,59.775272369384766
457,PV2LV2(76),0.6600000262260437,1,1.0084573030471802,59.77473068237305
458,PV2LV2(77),0.6600000262260437,1,1.0083473920822144,59.77546310424805
459,PV2LV2(78),0.6600000262260437,1,1.008410096168518,59.77434158325195
460,PV2LV2(79),0.6600000262260437,1,1.0083928108215332,59.774200439453125
462,PV2LV2(80),0.6600000262260437,1,1.0083812475204468,59.77454376220703
463,PV2LV2(81),0.6600000262260437,1,0.9959133863449097,59.76181411743164
464,PV2LV2(82),0.6600000262260437,1,0.9946870803833008,59.77625274658203
465,PV2LV2(83),0.6600000262260437,1,0.9959704875946045,59.76189422607422
466,PV2LV2(84),0.6600000262260437,1,0.9971859455108643,59.70338821411133
467,PV2LV2(85),0.6600000262260437,1,0.9959577918052673,59.75951385498047
468,PV2LV2(86),0.6600000262260437,1,0.9972370266914368,59.702362060546875
469,PV2LV2(87),0.6600000262260437,1,0.9947028756141663,59.77581787109375
470,PV2LV2(88),0.6600000262260437,1,0.9955849647521973,59.78065490722656
471,PV2LV2(89),0.6600000262260437,1,0.9946923851966858,59.776100158691406
473,PV2LV2(90),0.6600000262260437,1,0.9946526885032654,59.775203704833984
474,PV2LV2(91),0.6600000262260437,1,0.9946936368942261,59.776065826416016
475,PV2LV2(92),0.6600000262260437,1,0.9955564141273499,59.779693603515625
476,PV2LV2(93),0.6600000262260437,1,0.9956306219100952,59.779571533203125
477,PV2LV2(94),0.6600000262260437,1,0.9955962300300598,59.78036880493164
478,PV2LV2(95),0.6600000262260437,1,0.9946691393852234,59.775238037109375
479,PV2LV2(96),0.6600000262260437,1,0.9968459010124207,59.76329803466797
480,PV2LV2(97),0.6600000262260437,1,0.9969480037689209,59.760902404785156
481,PV2LV2(98),0.6600000262260437,1,0.99562668800354,59.779624938964844
482,PV2LV2(99),0.6600000262260437,1,0.996793270111084,59.76203155517578
613,SS2-1A,33.0,1,0.9976322054862976,29.76091766357422
614,SS2-1A-PV1-1,33.0,1,0.9978191256523132,29.756380081176758
615,SS2-1A-PV1-2,33.0,1,0.9978188276290894,29.75635528564453
616,SS2-1A-PV2-1,33.0,1,0.9977969527244568,29.75689125061035
617,SS2-1A-PV2-2,33.0,1,0.997796893119812,29.75684356689453
618,SS2-1A-PV3-1,33.0,1,0.9977864027023315,29.75712013244629
619,SS2-1A-PV3-2,33.0,1,0.9977861642837524,29.757097244262695
