bus1,bus2,bus3,id,status,rating_w1_RATEA,rating_w2_RATEA,rating_w3_RATEA,w1_P_MW,w1_Q_Mvar,w1_MVA,w2_P_MW,w2_Q_Mvar,w2_MVA,w3_P_MW,w3_Q_Mvar,w3_MVA,name,flow_source
735,94,214,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5B-PV3-1,not_available
720,95,224,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5A-PV2-1,not_available
718,96,222,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5A-PV1-1,not_available
728,97,213,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5A-PV6-1,not_available
722,98,223,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5A-PV3-1,not_available
724,99,218,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5A-PV4-1,not_available
726,100,220,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5A-PV5-1,not_available
739,102,209,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5B-PV5-1,not_available
679,103,238,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3B-PV1-1,not_available
657,104,149,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2B-PV3-1,not_available
663,105,235,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2B-PV6-1,not_available
685,106,228,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3B-PV4-1,not_available
689,107,240,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3B-PV6-1,not_available
653,108,226,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2B-PV1-1,not_available
640,109,227,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2A-PV1-1,not_available
