from_bus,to_bus,circuit_id,status,P_MW,Q_Mvar,loading_percent,RATEA,RATEB,RATEC,R,X,B,flow_source
665,804,1,1,-0.0011355824412907897,-0.02898706102677907,0.06722895706785756,43.150001525878906,43.150001525878906,43.150001525878906,0.0008613410172984004,0.0023691500537097454,0.0002899999963119626,computed_from_saved_bus_solution_line_equivalent
666,667,1,1,0.008978385398884261,-0.018030814688949872,0.10366718400339053,19.43000030517578,19.43000030517578,19.43000030517578,0.0038181799463927746,0.00390909006819129,0.00033999999868683517,computed_from_saved_bus_solution_line_equivalent
668,669,1,1,0.008219314484479373,-0.018807037133167153,0.10563387706467933,19.43000030517578,19.43000030517578,19.43000030517578,0.0038181799463927746,0.00390909006819129,0.00033999999868683517,computed_from_saved_bus_solution_line_equivalent
670,671,1,1,0.0087965308963168,-0.051091126470049236,0.2668186281229678,19.43000030517578,19.43000030517578,19.43000030517578,0.007485950365662575,0.0076641906052827835,0.0006699999794363976,computed_from_saved_bus_solution_line_equivalent
672,673,1,1,0.00840794597698487,-0.05148048187252553,0.26846406506610027,19.43000030517578,19.43000030517578,19.43000030517578,0.007485950365662575,0.0076641906052827835,0.0006699999794363976,computed_from_saved_bus_solution_line_equivalent
674,675,1,1,0.008408819743657418,-0.0514843937242607,0.2684846597149244,19.43000030517578,19.43000030517578,19.43000030517578,0.007485950365662575,0.0076641906052827835,0.0006699999794363976,computed_from_saved_bus_solution_line_equivalent
676,677,1,1,0.009015925908463073,-0.05130224574889876,0.26808263535596305,19.43000030517578,19.43000030517578,19.43000030517578,0.007485950365662575,0.0076641906052827835,0.0006699999794363976,computed_from_saved_bus_solution_line_equivalent
678,778,1,1,-0.27554374610649796,0.9896989643946583,0.6078549934924223,172.6199951171875,172.6199951171875,172.6199951171875,4.306700066081248e-05,0.00011845699918922037,0.0002300000051036477,computed_from_saved_bus_solution_line_equivalent
678,679,1,1,0.01762035001932474,-0.16879926734499814,0.48119204985727315,35.27000045776367,35.27000045776367,35.27000045776367,0.003992309793829918,0.010981000028550625,0.001339999958872795,computed_from_saved_bus_solution_line_equivalent
678,681,1,1,0.10765536301901195,-0.16102702340745217,0.5491896679019448,35.27000045776367,35.27000045776367,35.27000045776367,0.009306789375841618,0.025598600506782532,0.003109999932348728,computed_from_saved_bus_solution_line_equivalent
678,683,1,1,0.10770174615151328,-0.1045894268975959,0.5160137665049072,35.27000045776367,35.27000045776367,35.27000045776367,0.007588409818708897,0.020872199907898903,0.0025400000158697367,computed_from_saved_bus_solution_line_equivalent
678,685,1,1,0.017499499500007606,-0.2331948218649885,0.6630294847404424,35.27000045776367,35.27000045776367,35.27000045776367,0.00594324991106987,0.016347099095582962,0.001990000018849969,computed_from_saved_bus_solution_line_equivalent
678,687,1,1,0.017519720093208485,-0.1775127410547222,0.5057419985297131,35.27000045776367,35.27000045776367,35.27000045776367,0.00427224999293685,0.011750999838113785,0.0014299999456852674,computed_from_saved_bus_solution_line_equivalent
678,689,1,1,0.01735211621389602,-0.12368561717273399,0.354116436531888,35.27000045776367,35.27000045776367,35.27000045776367,0.002627090085297823,0.0072258999571204185,0.0008800000068731606,computed_from_saved_bus_solution_line_equivalent
678,704,1,0,-837.2221683694457,-3209.2853152585335,1925.418904936608,172.6199951171875,172.6199951171875,172.6199951171875,2.1533498511416838e-05,5.922860145801678e-05,0.00011999999696854502,computed_from_saved_bus_solution_line_equivalent
678,805,1,1,9.006450408224269e-05,-0.02939381134663406,0.06812039000823811,43.150001525878906,43.150001525878906,43.150001525878906,0.0008613410172984004,0.0023691500537097454,0.0002899999963119626,computed_from_saved_bus_solution_line_equivalent
679,680,1,1,0.008775674826947261,-0.05099974092417308,0.2663369041017315,19.43000030517578,19.43000030517578,19.43000030517578,0.007485950365662575,0.0076641906052827835,0.0006699999794363976,computed_from_saved_bus_solution_line_equivalent
681,682,1,1,0.09902726556627658,0.13159517070362833,1.1388238790383218,19.43000030517578,19.43000030517578,19.43000030517578,0.007485950365662575,0.0076641906052827835,0.0006699999794363976,computed_from_saved_bus_solution_line_equivalent
683,684,1,1,0.008388485744714716,-0.05139334695720943,0.26800533109740704,19.43000030517578,19.43000030517578,19.43000030517578,0.007485950365662575,0.0076641906052827835,0.0006699999794363976,computed_from_saved_bus_solution_line_equivalent
685,686,1,1,0.008775908869922832,-0.0510007665567625,0.2663423105187368,19.43000030517578,19.43000030517578,19.43000030517578,0.007485950365662575,0.0076641906052827835,0.0006699999794363976,computed_from_saved_bus_solution_line_equivalent
687,688,1,1,0.008608955321398205,-0.05161056863580845,0.26929312662805804,19.43000030517578,19.43000030517578,19.43000030517578,0.007485950365662575,0.0076641906052827835,0.0006699999794363976,computed_from_saved_bus_solution_line_equivalent
689,690,1,1,0.00899548749108457,-0.051214042180552616,0.26761732565239515,19.43000030517578,19.43000030517578,19.43000030517578,0.007485950365662575,0.0076641906052827835,0.0006699999794363976,computed_from_saved_bus_solution_line_equivalent
691,765,1,1,-0.37740495023980847,2.4829932790785394,1.4680207440556183,172.6199951171875,172.6199951171875,172.6199951171875,4.306700066081248e-05,0.00011845699918922037,0.0002300000051036477,computed_from_saved_bus_solution_line_equivalent
691,692,1,1,0.10808007488133492,-0.39117535332814696,1.1506430585223892,35.27000045776367,35.27000045776367,35.27000045776367,0.015232800506055355,0.041898299008607864,0.005100000184029341,computed_from_saved_bus_solution_line_equivalent
691,694,1,1,0.1081200765471362,-0.30080656389499355,0.9062872702573986,35.27000045776367,35.27000045776367,35.27000045776367,0.01348860003054142,0.03710079938173294,0.004509999882429838,computed_from_saved_bus_solution_line_equivalent
691,696,1,1,0.01751197121866888,-0.42976672107443764,1.2195161698153192,35.27000045776367,35.27000045776367,35.27000045776367,0.011843400076031685,0.03257580101490021,0.00395999988541007,computed_from_saved_bus_solution_line_equivalent
691,698,1,1,0.017502083940277267,-0.37797993775631844,1.0728237211790552,35.27000045776367,35.27000045776367,35.27000045776367,0.01027579978108406,0.02826390042901039,0.00343999988399446,computed_from_saved_bus_solution_line_equivalent
691,700,1,1,0.01751582255264993,-0.6195081895046111,1.7571753644126533,35.27000045776367,35.27000045776367,35.27000045776367,0.016602300107479095,0.045665301382541656,0.0055599999614059925,computed_from_saved_bus_solution_line_equivalent
691,702,1,1,0.10810803981453408,-0.3465273266378733,1.0292014649621963,35.27000045776367,35.27000045776367,35.27000045776367,0.01485379971563816,0.04085589945316315,0.004970000125467777,computed_from_saved_bus_solution_line_equivalent
691,717,1,0,-6588.774042185337,-17281.841179015737,10840.111137822332,172.6199951171875,172.6199951171875,172.6199951171875,2.1533498511416838e-05,5.922860145801678e-05,0.00011999999696854502,computed_from_saved_bus_solution_line_equivalent
691,806,1,1,0.00010041950188527436,-0.02948794072040156,0.06833861103959962,43.150001525878906,43.150001525878906,43.150001525878906,0.0008613410172984004,0.0023691500537097454,0.0002899999963119626,computed_from_saved_bus_solution_line_equivalent
692,693,1,1,0.099408500700359,0.10033598662499152,1.1434440355498674,19.43000030517578,19.43000030517578,19.43000030517578,0.011153698898851871,0.011419299989938736,0.0009899999713525176,computed_from_saved_bus_solution_line_equivalent
694,695,1,1,0.008821656081943368,-0.05120118878864217,0.26739881291307244,19.43000030517578,19.43000030517578,19.43000030517578,0.007485950365662575,0.0076641906052827835,0.0006699999794363976,computed_from_saved_bus_solution_line_equivalent
696,697,1,1,0.008823001230923201,-0.05120708039269463,0.2674298703193548,19.43000030517578,19.43000030517578,19.43000030517578,0.007485950365662575,0.0076641906052827835,0.0006699999794363976,computed_from_saved_bus_solution_line_equivalent
698,699,1,1,0.00865598311622897,-0.05181784798834844,0.270385218835457,19.43000030517578,19.43000030517578,19.43000030517578,0.007485950365662575,0.0076641906052827835,0.0006699999794363976,computed_from_saved_bus_solution_line_equivalent
700,701,1,1,0.008827076348992546,-0.08218613211189349,0.42541842998227347,19.43000030517578,19.43000030517578,19.43000030517578,0.010968600399792194,0.011229800060391426,0.0009800000116229057,computed_from_saved_bus_solution_line_equivalent
702,703,1,1,0.09955601498648191,0.13226347881334852,1.1443997973217792,19.43000030517578,19.43000030517578,19.43000030517578,0.007485950365662575,0.0076641906052827835,0.0006699999794363976,computed_from_saved_bus_solution_line_equivalent
704,782,1,1,-0.36135534373161227,2.527400324268694,1.4921321356451764,172.6199951171875,172.6199951171875,172.6199951171875,4.306700066081248e-05,0.00011845699918922037,0.0002300000051036477,computed_from_saved_bus_solution_line_equivalent
704,705,1,1,0.10807952153502785,-0.2919001819610039,0.8825250940299522,35.27000045776367,35.27000045776367,35.27000045776367,0.01320869941264391,0.036330901086330414,0.0044200001284480095,computed_from_saved_bus_solution_line_equivalent
704,707,1,1,0.017469906315262455,-0.4238707232959791,1.202808555885655,35.27000045776367,35.27000045776367,35.27000045776367,0.01164100132882595,0.0320190005004406,0.0038999998942017555,computed_from_saved_bus_solution_line_equivalent
704,709,1,1,0.01743476965052396,-0.37820302860562505,1.0734467617500318,35.27000045776367,35.27000045776367,35.27000045776367,0.011257699690759182,0.030964700505137444,0.0037700000684708357,computed_from_saved_bus_solution_line_equivalent
704,711,1,1,0.017545128304493694,-0.6533297247381432,1.8530344781658203,35.27000045776367,35.27000045776367,35.27000045776367,0.017967602238059044,0.04942040145397186,0.006010000128298998,computed_from_saved_bus_solution_line_equivalent
704,713,1,1,0.10809611039276701,-0.43197215058286675,1.2625225554462236,35.27000045776367,35.27000045776367,35.27000045776367,0.017334500327706337,0.047679100185632706,0.005799999926239252,computed_from_saved_bus_solution_line_equivalent
704,715,1,1,0.10807291869603737,-0.32173841303216366,0.9623034259586228,35.27000045776367,35.27000045776367,35.27000045776367,0.014018298126757145,0.03855789825320244,0.004689999856054783,computed_from_saved_bus_solution_line_equivalent
704,807,1,1,0.00010060698804644354,-0.029489642807428464,0.06834255707929052,43.150001525878906,43.150001525878906,43.150001525878906,0.0008613410172984004,0.0023691500537097454,0.0002899999963119626,computed_from_saved_bus_solution_line_equivalent
705,706,1,1,0.009043302785281142,-0.05142036122156718,0.2687057526979892,19.43000030517578,19.43000030517578,19.43000030517578,0.007485950365662575,0.0076641906052827835,0.0006699999794363976,computed_from_saved_bus_solution_line_equivalent
707,708,1,1,0.009044667846074102,-0.05142624972950715,0.2687368177844822,19.43000030517578,19.43000030517578,19.43000030517578,0.007485950365662575,0.0076641906052827835,0.0006699999794363976,computed_from_saved_bus_solution_line_equivalent
